,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20180130,002925.SZ,600519.SH,601360.SH,300624.SZ,300738.SZ,603895.SH,002466.SZ,002805.SZ,000661.SZ,603096.SH,002192.SZ,603499.SH,603365.SH,002760.SZ,600511.SH,002908.SZ,603978.SH,603286.SH,002729.SZ,002460.SZ,002923.SZ,300569.SZ,603356.SH,000830.SZ,600230.SH,300603.SZ,300651.SZ,002440.SZ,600694.SH,601877.SH,600570.SH,603883.SH,300308.SZ,603058.SH,300737.SZ,002696.SZ,603676.SH,603056.SH,603729.SH,300718.SZ,300608.SZ,300480.SZ,600516.SH,600506.SH,300727.SZ,002544.SZ,603660.SH,002016.SZ,603877.SH,300572.SZ
20180131,600519.SH,603833.SH,603799.SH,603180.SH,300677.SZ,300624.SZ,300738.SZ,002304.SZ,002923.SZ,603329.SH,300554.SZ,300612.SZ,601838.SH,603801.SH,603895.SH,000858.SZ,300616.SZ,603288.SH,002847.SZ,600340.SH,601888.SH,603518.SH,603356.SH,000418.SZ,300737.SZ,603058.SH,000736.SZ,002508.SZ,603056.SH,603157.SH,601318.SH,002838.SZ,603711.SH,600276.SH,000651.SZ,603477.SH,603637.SH,002876.SZ,600771.SH,000963.SZ,600036.SH,300571.SZ,603315.SH,300649.SZ,002293.SZ,601601.SH,000538.SZ,603639.SH,002776.SZ,000002.SZ
20180201,300739.SZ,603506.SH,300677.SZ,300738.SZ,300554.SZ,300648.SZ,603895.SH,300624.SZ,300668.SZ,002893.SZ,603499.SH,600733.SH,002838.SZ,002922.SZ,603356.SH,300571.SZ,603058.SH,000736.SZ,603056.SH,600338.SH,603868.SH,603676.SH,603655.SH,002863.SZ,300582.SZ,603757.SH,300348.SZ,300547.SZ,300727.SZ,300343.SZ,300561.SZ,002921.SZ,002895.SZ,600258.SH,300718.SZ,000786.SZ,601838.SH,002359.SZ,300700.SZ,300601.SZ,600155.SH,600340.SH,600640.SH,300277.SZ,300558.SZ,600593.SH,300284.SZ,002718.SZ,300092.SZ,000732.SZ
20180202,603516.SH,300738.SZ,601360.SH,002912.SZ,300567.SZ,300401.SZ,300661.SZ,300739.SZ,002034.SZ,601888.SH,603499.SH,603039.SH,603799.SH,300550.SZ,603356.SH,300602.SZ,300136.SZ,603506.SH,300308.SZ,002847.SZ,300727.SZ,603056.SH,603833.SH,603080.SH,600362.SH,600585.SH,603816.SH,603595.SH,600600.SH,002841.SZ,600436.SH,601088.SH,000661.SZ,002625.SZ,600763.SH,300612.SZ,002833.SZ,000525.SZ,601100.SH,600260.SH,002258.SZ,000513.SZ,603019.SH,002876.SZ,603619.SH,002508.SZ,603508.SH,300409.SZ,600985.SH,000681.SZ
20180205,601360.SH,603466.SH,002926.SZ,300739.SZ,603716.SH,603516.SH,300514.SZ,603506.SH,300401.SZ,603180.SH,002080.SZ,603025.SH,002842.SZ,603260.SH,603578.SH,000048.SZ,601601.SH,601155.SH,600260.SH,300527.SZ,600506.SH,002142.SZ,002302.SZ,600581.SH,300532.SZ,600740.SH,600146.SH,300476.SZ,300257.SZ,300013.SZ,603505.SH,603877.SH,603559.SH,600258.SH,601838.SH,300226.SZ,603858.SH,300708.SZ,601238.SH,600230.SH,603978.SH,600426.SH,601336.SH,300149.SZ,300552.SZ,600398.SH,300176.SZ,300203.SZ,000488.SZ,601799.SH
20180206,603871.SH,300644.SZ,300618.SZ,300739.SZ,603516.SH,603506.SH,002840.SZ,300451.SZ,002837.SZ,000681.SZ,300676.SZ,002926.SZ,601838.SH,601069.SH,002848.SZ,000048.SZ,300343.SZ,002925.SZ,600779.SH,300641.SZ,300212.SZ,000596.SZ,300737.SZ,600398.SH,000710.SZ,300484.SZ,600202.SH,000544.SZ,600547.SH,600137.SH,300423.SZ,300348.SZ,600903.SH,600988.SH,603589.SH,002207.SZ,002237.SZ,300298.SZ,300506.SZ,002688.SZ,600821.SH,300287.SZ,002336.SZ,002897.SZ,002155.SZ,300176.SZ,600359.SH,000816.SZ,002077.SZ,002583.SZ
20180207,603871.SH,300571.SZ,300677.SZ,002912.SZ,603444.SH,300739.SZ,603895.SH,603466.SH,601360.SH,603516.SH,300738.SZ,603039.SH,300109.SZ,002916.SZ,603506.SH,603499.SH,002878.SZ,300681.SZ,300624.SZ,603337.SH,603322.SH,300668.SZ,300644.SZ,300715.SZ,300642.SZ,300226.SZ,300547.SZ,300732.SZ,300212.SZ,000028.SZ,300729.SZ,300586.SZ,002917.SZ,300431.SZ,603578.SH,002920.SZ,300716.SZ,600053.SH,603025.SH,300713.SZ,300483.SZ,300639.SZ,603816.SH,300684.SZ,603619.SH,300413.SZ,603833.SH,600588.SH,300613.SZ,300348.SZ
20180208,300618.SZ,600519.SH,300740.SZ,603709.SH,002925.SZ,603871.SH,300567.SZ,002304.SZ,300676.SZ,000661.SZ,603895.SH,603040.SH,300613.SZ,002838.SZ,603799.SH,603602.SH,603516.SH,603338.SH,603039.SH,300450.SZ,002812.SZ,300661.SZ,603506.SH,300308.SZ,002878.SZ,300571.SZ,000538.SZ,603180.SH,300644.SZ,603860.SH,300558.SZ,000418.SZ,603501.SH,603078.SH,603896.SH,603559.SH,300586.SZ,600702.SH,300638.SZ,603368.SH,300630.SZ,002841.SZ,300584.SZ,300648.SZ,000596.SZ,603160.SH,603978.SH,002230.SZ,002415.SZ,300545.SZ
20180209,603871.SH,300547.SZ,603895.SH,300618.SZ,603516.SH,300604.SZ,300644.SZ,300740.SZ,603709.SH,300586.SZ,300603.SZ,002925.SZ,300738.SZ,603356.SH,300676.SZ,300450.SZ,300568.SZ,300595.SZ,002812.SZ,603555.SH,300065.SZ,603738.SH,600507.SH,600088.SH,002878.SZ,300663.SZ,002466.SZ,300601.SZ,603602.SH,603040.SH,002558.SZ,600809.SH,603960.SH,603515.SH,002881.SZ,002780.SZ,300716.SZ,603517.SH,300590.SZ,600645.SH,000996.SZ,300456.SZ,300365.SZ,300602.SZ,603233.SH,300151.SZ,300122.SZ,300155.SZ,300588.SZ,300729.SZ
20180212,603156.SH,300618.SZ,600519.SH,603833.SH,300676.SZ,603180.SH,002812.SZ,603799.SH,300613.SZ,002925.SZ,000661.SZ,002912.SZ,300616.SZ,300677.SZ,300668.SZ,300628.SZ,002460.SZ,603895.SH,002466.SZ,300226.SZ,603579.SH,002876.SZ,300700.SZ,300624.SZ,603338.SH,000418.SZ,300648.SZ,603516.SH,603716.SH,603868.SH,300340.SZ,603801.SH,300450.SZ,002709.SZ,600563.SH,603595.SH,300685.SZ,002008.SZ,300639.SZ,300644.SZ,603506.SH,600276.SH,600486.SH,603466.SH,300740.SZ,300642.SZ,000513.SZ,600779.SH,603939.SH,300713.SZ
